1^6+1^6+1^6+5^6+5^6+5^6-6^6=222, 47 ms
3^6+4^6+4^6+5^6+6^6+6^6-7^6=209, 109 ms
3^6+4^6+6^6+6^6+6^6+7^6-8^6=298, 235 ms
3^6+3^6+3^6+4^6+8^6+8^6-9^6=-870, 453 ms
1^6+7^6+7^6+7^6+7^6+9^6-10^6=2038, 829 ms
3^6+4^6+7^6+7^6+9^6+10^6-11^6=3, 1468 ms
4^6+6^6+6^6+7^6+10^6+11^6-12^6=634, 2453 ms
3^6+6^6+8^6+9^6+10^6+12^6-13^6=145, 3938 ms
1^6+3^6+10^6+11^6+11^6+12^6-14^6=300, 6109 ms
5^6+6^6+9^6+12^6+12^6+13^6-15^6=1874, 9172 ms
8^6+8^6+11^6+13^6+13^6+13^6-16^6=-940, 13469 ms
4^6+13^6+13^6+13^6+13^6+13^6-17^6=572, 19328 ms
9^6+9^6+10^6+12^6+13^6+17^6-18^6=1020, 27266 ms
7^6+8^6+8^6+10^6+15^6+18^6-19^6=-1095, 37641 ms
3^6+6^6+11^6+15^6+16^6+18^6-20^6=-989, 51156 ms
4^6+10^6+10^6+12^6+16^6+20^6-21^6=1175, 68282 ms
6^6+8^6+14^6+14^6+18^6+20^6-22^6=192, 89812 ms
6^6+7^6+14^6+14^6+19^6+21^6-23^6=-510, 117266 ms
7^6+8^6+11^6+16^6+17^6+23^6-24^6=-948, 151781 ms
4^6+5^6+12^6+12^6+19^6+24^6-25^6=-79, 194219 ms
7^6+8^6+14^6+17^6+21^6+24^6-26^6=219, 245172 ms
7^6+7^6+19^6+22^6+22^6+22^6-27^6=402, 308547 ms
9^6+11^6+15^6+16^6+20^6+27^6-28^6=1028, 383891 ms
10^6+14^6+18^6+20^6+25^6+25^6-29^6=-311, 476015 ms
11^6+14^6+17^6+20^6+25^6+27^6-30^6=-220, 583110 ms
6^6+10^6+19^6+22^6+25^6+28^6-31^6=-311, 711656 ms
21^6+22^6+23^6+23^6+24^6+27^6-32^6=-556, 878938 ms

[2005-11-11 23:53] 21^6+22^6+23^6+23^6+24^6+27^6-32^6=-556, 825110 ms
[2005-11-12 00:10] 1^6+6^6+8^6+26^6+27^6+29^6-33^6=418, 984640 ms
[2005-11-12 00:29] 7^6+21^6+24^6+24^6+28^6+29^6-34^6=-1069, 1163125 ms
[2005-11-12 00:53] 6^6+10^6+17^6+17^6+25^6+34^6-35^6=1210, 1421985 ms
[2005-11-12 01:21] 11^6+20^6+20^6+21^6+31^6+32^6-36^6=851, 1657515 ms
[2005-11-12 01:52] 4^6+13^6+13^6+29^6+31^6+32^6-37^6=131, 1887828 ms
[2005-11-12 02:29] 3^6+11^6+15^6+21^6+32^6+35^6-38^6=101, 2196641 ms
[2005-11-12 03:13] 4^6+4^6+11^6+17^6+28^6+38^6-39^6=249, 2630531 ms
[2005-11-12 04:03] 5^6+6^6+17^6+25^6+26^6+39^6-40^6=12, 3025297 ms
[2005-11-12 05:01] 4^6+5^6+6^6+14^6+36^6+37^6-41^6=417, 3488266 ms
[2005-11-12 06:08] 10^6+13^6+24^6+28^6+33^6+39^6-42^6=75, 4018281 ms
[2005-11-12 07:27] 10^6+10^6+25^6+31^6+36^6+38^6-43^6=-23, 4736235 ms
[2005-11-12 08:58] 9^6+15^6+15^6+17^6+31^6+43^6-44^6=3134, 5436640 ms
[2005-11-12 10:39] 12^6+14^6+30^6+33^6+36^6+40^6-45^6=200, 6098266 ms
[2005-11-12 12:31] 7^6+14^6+16^6+16^6+36^6+44^6-46^6=913, 6719344 ms
[2005-11-12 14:41] 9^6+17^6+26^6+36^6+39^6+41^6-47^6=-205, 7806093 ms
[2005-11-12 17:08] 18^6+19^6+23^6+24^6+42^6+43^6-48^6=1299, 8818500 ms
